Serial No.,GRE,TOEFL,University,SOP,LOR,CGPA,Research,Chance of Admit,internship_abroad
108,301,107,c,3.5,3.5,3.896516764,1,0.62,0
109,320,110,d,4,3.5,4.006516764,0,0.72,0
110,311,105,c,3.5,3,3.951516764,1,0.59,0
111,310,106,b,4.5,4.5,4.246516764,1,0.66,1
112,299,102,c,4,3.5,4.036516764,0,0.56,0
113,296,99,d,3,3.5,0.213938252,0,0.47,0
114,327,104,a,3,3.5,4.146516764,1,0.71,0
115,335,117,a,5,5,4.506516764,1,0.94,1
116,334,119,a,4.5,4.5,4.466516764,1,0.94,0
117,310,106,b,1.5,2.5,3.906516764,0,0.57,0
118,308,108,c,3.5,3.5,3.836516764,0,0.61,0
119,301,106,b,2.5,3,3.961516764,0,0.57,0
120,300,100,c,2,3,4.056516764,1,0.64,0
121,323,113,c,4,3,4.386516764,1,0.85,1
122,319,112,c,2.5,2,4.081516764,1,0.78,0
123,326,112,c,3.5,3,4.276516764,1,0.84,0
124,333,118,a,5,5,4.401516764,1,0.92,0
125,339,114,a,4,4.5,4.606516764,1,0.96,0
126,303,105,a,5,4.5,4.051516764,0,0.77,0
127,309,105,a,3.5,3.5,4.006516764,0,0.71,1
128,323,112,a,4,4.5,4.116516764,0,0.79,0
129,333,113,a,4,4,4.366516764,1,0.89,1
130,314,109,b,3.5,4,4.111516764,1,0.82,0
131,312,103,c,5,4,3.951516764,0,0.76,0
132,316,100,d,1.5,3,3.806516764,1,0.71,0
133,326,116,d,4.5,3,4.266516764,1,0.8,1
134,318,109,e,3.5,3.5,4.286516764,0,0.78,1
135,329,110,d,4,3,4.301516764,1,0.84,0
136,332,118,d,4.5,3.5,4.406516764,1,0.9,0
137,331,115,a,4,3.5,4.446516764,1,0.92,0
138,340,120,b,4.5,4,4.686516764,1,0.97,0
139,325,112,d,3,3.5,4.206516764,1,0.8,0
140,320,113,d,2,2.5,4.046516764,1,0.81,0
141,315,105,c,2,2.5,3.966516764,0,0.75,0
142,326,114,c,3,3,4.281516764,1,0.83,1
143,339,116,b,4,3.5,4.626516764,1,0.96,0
144,311,106,d,3.5,3,3.856516764,1,0.79,0
145,334,114,b,4,4,4.441516764,1,0.93,1
146,332,116,a,5,5,4.366516764,1,0.94,0
147,321,112,a,5,5,4.256516764,1,0.86,0
148,324,105,c,3,4,4.101516764,0,0.79,0
149,326,108,c,3,3.5,4.171516764,0,0.8,1
150,312,109,c,3,3,4.071516764,0,0.77,1
151,315,105,c,2,2.5,3.896516764,0,0.7,1
152,309,104,d,2,2.5,3.856516764,0,0.65,0
153,306,106,d,2,2.5,3.796516764,0,0.61,0
154,297,100,e,1.5,2,3.676516764,0,0.52,1
155,315,103,e,1.5,2,3.656516764,0,0.57,0
156,318,109,c,3,3,3.976516764,0,0.67,0
157,317,105,c,3.5,3,4.006516764,0,0.68,0
158,329,111,b,4.5,4,4.231516764,1,0.81,0
159,322,110,a,4.5,4,4.211516764,0,0.78,0
160,302,102,c,3.5,5,3.891516764,0,0.65,1
161,313,102,c,2,3,3.861516764,0,0.64,0
162,293,97,d,2,4,3.626516764,1,0.64,0
163,311,99,d,2.5,3,3.716516764,0,0.65,1
164,312,101,d,2.5,3.5,3.746516764,1,0.68,0
165,334,117,a,4,4.5,4.261516764,1,0.89,1
166,322,110,b,4,5,4.291516764,1,0.86,1
167,323,113,b,4,4.5,4.341516764,1,0.89,0
168,321,111,b,4,4,4.211516764,1,0.87,0
169,320,111,b,4.5,3.5,4.161516764,1,0.85,0
170,329,119,b,4.5,4.5,4.306516764,1,0.9,0
171,319,110,c,3.5,3.5,4.246516764,0,0.82,0
172,309,108,c,2.5,3,3.786516764,0,0.72,0
173,307,102,c,3,3,3.861516764,0,0.73,1
174,300,104,c,3.5,3,3.806516764,0,0.71,0
175,305,107,d,2.5,2.5,3.936516764,0,0.71,0
176,299,100,d,3,3.5,3.666516764,0,0.68,0
177,314,110,c,4,4,4.126516764,0,0.75,0
178,316,106,d,2.5,4,3.886516764,0,0.72,1
179,327,113,b,4.5,4.5,4.281516764,1,0.89,0
180,317,107,c,3.5,3,4.066516764,1,0.84,1
181,335,118,a,4.5,3.5,4.446516764,1,0.93,1
182,331,115,a,4.5,3.5,4.406516764,1,0.93,0
183,324,112,a,5,5,4.266516764,1,0.88,0
184,324,111,a,4.5,4,4.306516764,1,0.9,0
185,323,110,a,4,5,4.216516764,1,0.87,0
186,322,114,a,4.5,4,4.196516764,1,0.86,1
187,336,118,a,4.5,5,4.491516764,1,0.94,0
188,316,109,c,3.5,3,4.106516764,0,0.77,0
189,307,107,d,3,3.5,3.986516764,1,0.78,1
190,306,105,d,3,2.5,3.856516764,0,0.73,0
191,310,106,d,3.5,2.5,3.891516764,0,0.73,1
192,311,104,c,4.5,4.5,3.941516764,0,0.7,1
193,313,107,c,4,4.5,4.071516764,0,0.72,0
194,317,103,c,2.5,3,3.996516764,1,0.73,1
195,315,110,d,3.5,3,3.956516764,1,0.72,0
196,340,120,a,4.5,4.5,4.681516764,1,0.97,1
197,334,120,a,4,5,4.661516764,1,0.97,0
198,298,105,c,3.5,4,3.996516764,0,0.69,0
199,295,99,d,2.5,3,3.551516764,0,0.57,0
200,315,99,d,3.5,3,3.671516764,0,0.63,0
201,310,102,c,3.5,4,3.736516764,1,0.66,0
202,305,106,d,3,3,3.806516764,0,0.64,0
203,301,104,c,3.5,4,3.786516764,1,0.68,0
204,325,108,b,4.5,4,4.256516764,1,0.79,0
205,328,110,b,5,4,4.296516764,1,0.82,1
206,338,120,b,5,5,4.556516764,1,0.95,0
207,333,119,a,5,4.5,4.616516764,1,0.96,0
208,331,117,b,4.5,5,4.436516764,1,0.94,0
209,330,116,a,5,4.5,4.406516764,1,0.93,0
210,322,112,b,4.5,4.5,4.356516764,1,0.91,0
211,321,109,b,4,4,4.291516764,1,0.85,0
212,324,110,b,3,3.5,4.211516764,1,0.84,0
213,312,104,c,3.5,3.5,3.936516764,0,0.74,0
214,313,103,c,4,4,4.101516764,0,0.76,0
215,316,110,c,3.5,4,4.006516764,0,0.75,0
216,324,113,b,4.5,4,4.121516764,0,0.76,1
217,308,109,d,3,4,3.951516764,0,0.71,1
218,305,105,d,3,2,3.841516764,0,0.67,0
219,296,99,d,2.5,2.5,3.741516764,0,0.61,0
220,306,110,d,3.5,4,3.951516764,0,0.63,1
221,312,110,d,3.5,3,3.991516764,0,0.64,0
222,318,112,c,4,3.5,4.061516764,0,0.71,0
223,324,111,b,3,3,4.231516764,1,0.82,1
224,313,104,c,4,4.5,4.051516764,0,0.73,0
225,319,106,c,3.5,2.5,3.891516764,1,0.74,0
226,312,107,d,2.5,3.5,3.861516764,0,0.69,0
227,304,100,d,2.5,3.5,3.761516764,0,0.64,1
228,330,113,a,5,4,4.381516764,1,0.91,0
229,326,111,a,4.5,4,4.341516764,1,0.88,0
230,325,112,b,4,4.5,4.311516764,1,0.85,1
231,329,114,a,4.5,5,4.321516764,1,0.86,0
232,310,104,c,2,3.5,3.911516764,0,0.7,0
233,299,100,e,1.5,2,3.671516764,0,0.59,1
234,296,101,e,2.5,3,3.566516764,0,0.6,0
235,317,103,d,2.5,2,3.801516764,0,0.65,0
236,324,115,c,3.5,3,4.106516764,1,0.7,0
237,325,114,c,3.5,3,4.246516764,1,0.76,0
238,314,107,d,2.5,4,4.006516764,0,0.63,1
239,328,110,b,4,2.5,4.236516764,1,0.81,0
240,316,105,c,3,3.5,4.091516764,0,0.72,0
241,311,104,d,2.5,3.5,3.966516764,0,0.71,0
242,324,110,c,3.5,4,4.161516764,1,0.8,0
243,321,111,c,3.5,4,4.141516764,1,0.77,0
244,320,104,c,3,2.5,4.011516764,1,0.74,0
245,316,99,d,2.5,3,4.226516764,0,0.7,1
246,318,100,d,2.5,3.5,3.996516764,1,0.71,0
247,335,115,b,4.5,4.5,4.566516764,1,0.93,0
248,321,114,b,4,5,4.286516764,0,0.85,1
249,307,110,b,4,4.5,3.911516764,0,0.79,1
250,309,99,c,4,4,4.006516764,0,0.76,0
251,324,100,c,4,5,4.046516764,1,0.78,0
252,326,102,b,5,5,4.106516764,1,0.77,0
253,331,119,b,5,4.5,4.396516764,1,0.9,1
254,327,108,a,5,3.5,4.291516764,1,0.87,0
255,312,104,c,3.5,4,3.771516764,0,0.71,1
256,308,103,d,2.5,4,3.906516764,1,0.7,0
257,324,111,c,2.5,1.5,4.121516764,1,0.7,0
258,325,110,d,3,2.5,4.106516764,1,0.75,1
259,313,102,c,2.5,2.5,4.066516764,0,0.71,0
260,312,105,d,2,2.5,3.951516764,0,0.72,0
261,314,107,c,3,3.5,3.811516764,1,0.73,1
262,327,113,b,4.5,5,4.296516764,0,0.83,1
263,308,108,b,4.5,5,3.896516764,0,0.77,0
264,306,105,d,2.5,3,3.836516764,1,0.72,0
265,299,96,d,1.5,2,3.656516764,0,0.54,0
266,294,95,e,1.5,1.5,3.546516764,0,0.49,0
267,312,99,e,1,1.5,3.731516764,1,0.52,0
268,315,100,e,2,2.5,3.701516764,0,0.58,1
269,322,110,c,3.5,3,4.206516764,1,0.78,0
270,329,113,a,5,4.5,4.451516764,1,0.89,1
271,320,101,d,2.5,3,4.036516764,0,0.7,0
272,308,103,d,3,3.5,3.971516764,0,0.66,1
273,304,102,d,3,4,4.091516764,0,0.67,0
274,311,102,c,4.5,4,4.046516764,1,0.68,0
275,317,110,c,4,4.5,4.281516764,1,0.8,0
276,312,106,c,4,3.5,4.121516764,1,0.81,1
277,321,111,c,2.5,3,4.176516764,1,0.8,1
278,340,112,b,5,4.5,4.556516764,1,0.94,1
279,331,116,a,4,4,4.356516764,1,0.93,1
280,336,118,a,4.5,4,4.321516764,1,0.92,1
281,324,114,a,5,4.5,4.266516764,1,0.89,0
282,314,104,b,5,5,4.236516764,0,0.82,0
283,313,109,c,4,3.5,4.226516764,0,0.79,0
284,307,105,d,2.5,3,3.551516764,0,0.58,0
285,300,102,d,1.5,2,3.661516764,0,0.56,0
286,302,99,d,1,2,3.711516764,0,0.56,0
287,312,98,e,3.5,3,3.816516764,1,0.64,0
288,316,101,d,2.5,2,3.886516764,1,0.61,1
289,317,100,d,3,2.5,4.011516764,0,0.68,0
290,310,107,c,3.5,3.5,4.061516764,0,0.76,1
291,320,120,c,4,4.5,4.281516764,0,0.86,0
292,330,114,c,4.5,4.5,4.346516764,1,0.9,1
293,305,112,c,3,3.5,4.051516764,0,0.71,0
294,309,106,d,2.5,2.5,3.726516764,0,0.62,1
295,319,108,d,2.5,3,4.106516764,0,0.66,1
296,322,105,d,3,3,3.951516764,1,0.65,0
297,323,107,c,3.5,3.5,4.001516764,1,0.73,0
298,313,106,d,2.5,2,3.941516764,0,0.62,0
299,321,109,c,3.5,3.5,4.126516764,1,0.74,0
300,323,110,c,4,3.5,4.276516764,1,0.79,0
301,325,112,b,4,4,4.226516764,1,0.8,0
302,312,108,c,3.5,3,3.991516764,0,0.69,0
303,308,110,b,3.5,3,4.026516764,0,0.7,0
304,320,104,c,3,3.5,4.096516764,1,0.76,0
305,328,108,b,4.5,4,4.316516764,1,0.84,0
306,311,107,b,4.5,4.5,4.226516764,1,0.78,0
307,301,100,c,3.5,3,3.746516764,0,0.67,0
308,305,105,d,3,4,3.791516764,0,0.66,0
309,308,104,d,2.5,3,3.761516764,0,0.65,0
310,298,101,d,1.5,2,3.656516764,0,0.54,1
311,300,99,e,1,2.5,3.731516764,0,0.58,0
312,324,111,c,2.5,2,4.126516764,1,0.79,0
313,327,113,b,3.5,3,4.071516764,1,0.8,0
314,317,106,c,4,3.5,3.976516764,1,0.75,0
315,323,104,c,4,4,3.946516764,1,0.73,0
316,314,107,d,2.5,4,3.861516764,0,0.72,1
317,305,102,d,2,2.5,3.816516764,0,0.62,0
318,315,104,c,3,2.5,3.891516764,0,0.67,0
319,326,116,c,3.5,4,4.296516764,1,0.81,1
320,299,100,c,2,2,3.736516764,0,0.63,0
321,295,101,d,2.5,2,3.656516764,0,0.69,0
322,324,112,b,4,3.5,4.111516764,1,0.8,0
323,297,96,d,2.5,1.5,3.671516764,0,0.43,1
324,327,113,c,3.5,3,4.056516764,1,0.8,1
325,311,105,d,3,2,3.786516764,1,0.73,0
326,308,106,c,3.5,2.5,3.831516764,1,0.75,0
327,319,108,c,3,3.5,3.996516764,1,0.71,1
328,312,107,b,4.5,4,4.051516764,1,0.73,1
329,325,111,b,4,4.5,4.281516764,1,0.83,1
330,319,110,c,3,2.5,4.121516764,0,0.72,0
331,332,118,a,5,5,4.461516764,1,0.94,1
332,323,108,a,4,4,4.096516764,1,0.81,1
333,324,107,a,3.5,4,4.056516764,1,0.81,0
334,312,107,c,3,3,3.956516764,1,0.75,1
335,326,110,c,3.5,3.5,4.106516764,1,0.79,0
336,308,106,c,3,3,3.846516764,0,0.58,0
337,305,103,d,2.5,3.5,3.791516764,0,0.59,0
338,295,96,d,1.5,2,1.349915588,0,0.47,1
339,304,97,d,1.5,2,3.546516764,0,0.47,1
340,299,94,e,1,1,1.766766856,0,0.42,0
341,313,101,c,2.5,3,3.746516764,0,0.62,0
342,318,107,c,3,3.5,3.861516764,1,0.74,0
343,325,110,b,3.5,4,4.061516764,1,0.73,0
344,303,100,d,3,3.5,3.756516764,1,0.64,0
345,300,102,c,3.5,2.5,3.811516764,0,0.63,0
346,297,98,d,2.5,3,3.561516764,0,0.59,0
347,317,106,d,2,3.5,3.786516764,0,0.73,0
348,327,109,c,3.5,4,4.111516764,1,0.79,1
349,301,104,d,3.5,3.5,3.671516764,1,0.68,0
350,314,105,d,2.5,2,3.546516764,0,0.7,0
351,321,107,d,2,1.5,3.946516764,0,0.81,0
352,322,110,c,4,5,4.046516764,1,0.85,0
353,334,116,b,4,3.5,4.496516764,1,0.93,0
354,338,115,a,4.5,5,4.341516764,1,0.91,0
355,306,103,d,2.5,3,3.906516764,0,0.69,0
356,313,102,c,3.5,4,4.176516764,1,0.77,0
357,330,114,b,4.5,3,4.311516764,1,0.86,0
358,320,104,c,3.5,4.5,3.896516764,1,0.74,0
359,311,98,e,1,2.5,1.36543919,0,0.57,0
360,298,92,e,2,2,3.666516764,0,0.51,0
361,301,98,e,2,3,3.741516764,1,0.67,1
362,310,103,d,2.5,2.5,3.846516764,0,0.72,1
363,324,110,c,3.5,3,4.336516764,1,0.89,0
364,336,119,b,4.5,4,4.536516764,1,0.95,1
365,321,109,c,3,3,3.996516764,1,0.79,0
366,315,105,d,2,2.5,3.551516764,0,0.39,1
367,304,101,d,2,2.5,3.556516764,0,0.38,0
368,290,100,e,1.5,2,3.506516764,0,0.47,0
369,303,98,e,2,2.5,3.551516764,0,0.56,0
370,311,99,e,2.5,3,3.941516764,1,0.71,1
371,322,104,c,3.5,4,4.146516764,1,0.78,0
372,319,105,c,3,3.5,4.061516764,1,0.73,0
373,324,110,b,4.5,4,4.301516764,1,0.82,0
374,300,100,c,3,3.5,3.856516764,0,0.62,0
375,340,113,b,5,5,4.596516764,1,0.96,1
376,335,117,a,5,5,4.636516764,1,0.96,0
377,302,101,d,2.5,3.5,3.706516764,0,0.46,0
378,307,105,d,2,3.5,3.776516764,0,0.53,0
379,296,97,d,1.5,2,3.626516764,0,0.49,0
380,320,108,c,3.5,4,3.946516764,1,0.76,0
381,314,102,d,2,2.5,3.846516764,0,0.64,0
382,318,106,c,2,3,4.051516764,0,0.71,0
383,326,112,b,4,3.5,4.286516764,1,0.84,0
384,317,104,d,3,3,4.106516764,0,0.77,1
385,329,111,b,4.5,4,4.341516764,1,0.89,1
386,324,110,c,3.5,3.5,4.246516764,1,0.82,1
387,325,107,c,3,3.5,4.281516764,1,0.84,0
388,330,116,b,5,4.5,4.451516764,1,0.91,0
389,312,103,c,3.5,4,4.116516764,0,0.67,0
390,333,117,b,5,4,4.556516764,1,0.95,0
391,304,100,d,3.5,3,3.836516764,0,0.63,0
392,315,105,d,3,3,3.896516764,0,0.66,1
393,324,109,c,3.5,3,4.196516764,1,0.78,1
394,330,116,b,4,3.5,4.341516764,1,0.91,1
395,311,101,c,2,2.5,3.546516764,1,0.62,0
396,322,103,b,3,2.5,3.736516764,1,0.61,0
397,298,100,c,2.5,4,3.701516764,1,0.58,0
398,297,101,c,2,4,3.561516764,1,0.57,1
399,300,98,e,2,2.5,3.736516764,0,0.61,1
400,301,96,e,3,4,3.506516764,0,0.54,1
401,313,94,d,2.5,1.5,3.791516764,0,0.56,0
402,314,102,b,2.5,2,3.666516764,1,0.59,1
403,317,101,c,3,2,3.696516764,1,0.49,0
404,321,110,b,3.5,4,3.901516764,1,0.72,0
405,327,106,b,4,4.5,4.101516764,1,0.76,0
406,315,104,c,4,2.5,3.776516764,0,0.65,0
407,316,103,c,3.5,2,3.566516764,0,0.52,1
408,309,111,d,2.5,4,3.741516764,0,0.6,0
409,308,102,d,2,3.5,3.716516764,1,0.58,0
410,321,112,c,3,4.5,4.201516764,1,0.77,1
411,322,112,b,3.5,2.5,4.236516764,1,0.73,0
412,334,119,a,4.5,5,4.496516764,1,0.94,1
413,325,114,a,4,5,4.456516764,1,0.91,0
414,323,111,a,4,5,4.656516764,1,0.92,0
415,312,106,c,3,5,4.011516764,0,0.71,0
416,310,101,c,3.5,5,4.051516764,1,0.71,0
417,316,103,d,2,4.5,4.096516764,0,0.69,0
418,340,115,a,5,4.5,4.256516764,1,0.95,1
419,311,104,c,4,3.5,3.791516764,1,0.74,1
420,320,112,d,3.5,3.5,4.116516764,1,0.73,0
421,324,112,b,4.5,4,4.336516764,1,0.86,0
422,316,111,b,4,5,3.996516764,0,0.71,0
423,306,103,c,3.5,3,3.831516764,0,0.64,0
424,309,105,d,2.5,4,3.566516764,0,0.55,1
425,317,106,e,1.5,3.5,3.551516764,1,0.61,0
426,318,110,e,2.5,3.5,3.996516764,1,0.67,0
427,312,105,d,1.5,3,3.956516764,0,0.66,0
428,305,104,d,2.5,1.5,3.621516764,0,0.53,0
429,332,112,e,1.5,3,4.056516764,1,0.79,0
430,331,116,b,4.5,4.5,4.446516764,1,0.92,0
431,321,114,a,4.5,4.5,4.306516764,1,0.87,0
432,324,113,a,4,5,4.351516764,1,0.92,1
433,328,116,a,4.5,5,4.266516764,1,0.91,0
434,327,118,b,5,5,4.561516764,1,0.93,1
435,320,108,c,3.5,5,4.211516764,1,0.84,0
436,312,109,d,2.5,4,4.236516764,0,0.8,0
437,315,101,c,3.5,4.5,4.291516764,0,0.79,0
438,320,112,b,3,4.5,4.156516764,1,0.82,0
439,324,113,b,4.5,4.5,4.351516764,1,0.89,0
440,328,116,b,5,3.5,4.526516764,1,0.93,1
441,319,103,c,2.5,4,4.106516764,1,0.73,0
442,310,105,d,3,3.5,3.731516764,0,0.71,0
443,305,102,d,1.5,2.5,3.546516764,0,0.59,0
444,299,100,d,2,2,3.666516764,0,0.51,1
445,295,99,e,2,1.5,3.511516764,0,0.37,0
446,312,100,e,3,3,3.991516764,1,0.69,0
447,329,113,b,4,3.5,4.406516764,1,0.89,0
448,319,105,b,4,4.5,4.056516764,1,0.77,0
449,301,102,c,2.5,2,3.791516764,1,0.68,0
450,307,105,b,3,3,3.696516764,0,0.62,1
451,304,107,c,3.5,3,3.656516764,0,0.57,1
452,298,97,d,2,3,0.197086413,0,0.45,0
453,305,96,b,3,4.5,3.856516764,0,0.54,1
454,314,99,b,3.5,4.5,4.091516764,1,0.71,0
455,318,101,a,3.5,5,4.116516764,1,0.78,0
456,323,110,b,4,5,4.166516764,1,0.81,0
457,326,114,b,4,3.5,4.306516764,1,0.86,0
458,320,110,a,4,4,4.361516764,1,0.87,1
459,311,103,c,2,4,3.771516764,0,0.64,0
460,327,116,b,4,4.5,4.466516764,1,0.9,0
461,316,102,d,4,3.5,3.801516764,0,0.67,0
462,308,105,b,3,2.5,3.701516764,1,0.67,0
463,300,101,c,3.5,2.5,3.666516764,0,0.59,1
464,304,104,c,2.5,2,3.786516764,0,0.62,0
465,309,105,b,3.5,2,3.816516764,0,0.65,0
466,318,103,c,4,4.5,3.971516764,1,0.71,1
467,325,110,b,4.5,4,4.206516764,1,0.79,0
468,321,102,c,3.5,4,4.231516764,1,0.8,0
469,323,107,b,3,2.5,3.966516764,1,0.78,0
470,328,113,b,4,2.5,4.111516764,1,0.83,0
471,304,103,a,5,3,3.686516764,0,0.71,0
472,317,106,c,3.5,3,3.671516764,1,0.73,0
473,311,101,d,2.5,3.5,3.896516764,1,0.7,0
474,319,102,c,2.5,2.5,3.911516764,0,0.68,0
475,327,115,b,3.5,4,4.296516764,0,0.79,0
476,322,112,c,3,4,4.036516764,1,0.76,0
477,302,110,c,4,4.5,3.976516764,0,0.65,0
478,307,105,d,2.5,4.5,3.786516764,1,0.67,0
479,297,99,b,3,3.5,3.631516764,0,0.54,1
480,298,101,b,2.5,4.5,3.571516764,1,0.53,0
481,300,95,d,3,1.5,3.836516764,1,0.62,1
482,301,99,c,2.5,2,3.951516764,1,0.68,0
483,332,108,a,4.5,4,4.236516764,1,0.87,1
484,337,117,a,5,5,4.661516764,1,0.96,1
485,330,120,a,4.5,5,4.506516764,1,0.93,0
486,312,103,b,4,5,3.941516764,0,0.73,0
487,327,113,b,4.5,4.5,4.246516764,0,0.84,0
